index,link_id,src_lat,src_long,des_lat,des_long
38,3460-78201,22.2962535,114.1701958,22.29998266,114.1686341
39,3470-3006,22.30263231,114.1634982,22.30660102,114.1637282
40,34781-36662,22.30585015,114.1781416,22.30708163,114.1742492
41,34783-88805,22.30589614,114.1784774,22.30586115,114.1787765
42,3480-88818,22.30950514,114.1787241,22.30466879,114.1837563
43,3480-888302,22.30950514,114.1787241,22.30690892,114.1806918
44,3483-88825,22.31743233,114.1785467,22.31506937,114.1772523
45,3484-4640,22.31331028,114.1769346,22.31303852,114.176887
46,3488-3489,22.32410224,114.1836626,22.32499844,114.1856158
47,3489-88816,22.32499844,114.1856158,22.32603816,114.1874158
48,3491-3010,22.30937214,114.1676767,22.31062692,114.1647691
49,34982-36661,22.31031918,114.1674614,22.30712851,114.1742793
50,3498-3499,22.31033156,114.1671876,22.31213091,114.1665433
51,3499-88822,22.31213091,114.1665433,22.31160676,114.1655301
52,3500-3499,22.31265013,114.168974,22.31213091,114.1665433
53,3502-3500,22.3129491,114.1706792,22.31265013,114.168974
54,3503-3502,22.31646363,114.1740032,22.3129491,114.1706792
55,3504-888231,22.31850899,114.175522,22.31697142,114.1743667
56,3505-3504,22.32108342,114.1775273,22.31850899,114.175522
57,3506-3483,22.31826782,114.1789558,22.31743233,114.1785467
58,35071-3488,22.32193083,114.1781415,22.32410224,114.1836626
59,35071-3505,22.32193083,114.1781415,22.32108342,114.1775273
60,3615-3460,22.29463686,114.1707118,22.2962535,114.1701958
61,3632-46322,22.30161096,114.2346852,22.30033038,114.2328347
62,3633-3632,22.30672904,114.2334095,22.30161096,114.2346852
63,3637-888151,22.30850795,114.2276576,22.30722548,114.2330277
64,3639-88814,22.30636775,114.2221746,22.30624394,114.2240016
65,3643-88813,22.31784868,114.2086113,22.31657725,114.212988
66,3644-3690,22.3295829,114.2050859,22.32314173,114.2044811
67,36511-46502,22.29961803,114.2315246,22.28970678,114.2124318
68,3651-4632,22.29983649,114.231348,22.30057871,114.2326583
69,3664-3458,22.29766004,114.1786114,22.2951517,114.1752529
70,36661-34783,22.30712851,114.1742793,22.30589614,114.1784774
71,36662-3498,22.30708163,114.1742492,22.31033156,114.1671876
